DBN,school_name,math_score,reading_score,writing_score
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,381,363,367
18K642,URBAN ACTION ACADEMY,385,376,374
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,403,410,378
19K409,EAST NEW YORK FAMILY ACADEMY,432,416,394
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s
19K431,THOMAS JEFFERSON YABC,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,349,341,333
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,349,363,342
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,386,380,383
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,386,380,383
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,365,371,370
19K583,MULTICULTURAL HIGH SCHOOL,322,279,286
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,418,395,380
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,371,371,354
19K639,BROOKLYN LAB SCHOOL,385,360,363
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,385,376,368
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,369,370,363
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",400,383,374
20K445,NEW UTRECHT HIGH SCHOOL,471,402,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,474,425,424
20K490,FORT HAMILTON HIGH SCHOOL,478,417,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,486,383,375
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,477,338,316
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,386,326,314
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,427,402,408
